,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
194.407089,-88.169609,-1.493861,µm,Vesicles red, Vesicles red Position,0,1,7,300033965,300031679,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
207.816589,-96.392151,-2.501477,µm,Vesicles red, Vesicles red Position,0,1,8,300033966,300056364,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
213.875458,-95.427483,-0.774612,µm,Vesicles red, Vesicles red Position,0,1,8,300033967,300056365,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
212.468811,-97.442764,-0.742762,µm,Vesicles red, Vesicles red Position,0,1,8,300033968,300056366,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
196.919296,-91.148697,-0.643153,µm,Vesicles red, Vesicles red Position,0,1,9,300033969,300056367,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
196.137558,-86.460922,-1.543394,µm,Vesicles red, Vesicles red Position,0,1,9,300033970,300056368,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
403.62677,-66.619347,-2.104519,µm,Vesicles red, Vesicles red Position,0,1,10,300033971,300034230,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
398.445007,-67.901604,-1.859661,µm,Vesicles red, Vesicles red Position,0,1,10,300033972,300034231,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
428.212189,-59.106873,-1.813551,µm,Vesicles red, Vesicles red Position,0,1,11,300033973,300034232,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
428.042542,-58.222443,-1.920368,µm,Vesicles red, Vesicles red Position,0,1,11,300033974,300034233,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
